NomMus;Imagen;Sexo;DiaNac;MesNac;AnioNac;DiaDef;MesDef;AnioDef;Pais;Origen;Visitas
"Jack Gibson";https://www.metal-archives.com/images/2/9/3/1/2931_artist.jpg?2629;Hombre;4;9;1969;;;;"Estados Unidos";;0
"Jack Richardson";https://www.metal-archives.com/images/1/4/5/5/145538_artist.jpg?4311;Hombre;23;7;1929;13;5;2011;Canadá;"Toronto, Ontario";1
"Jaime Gomez Arellano";https://www.metal-archives.com/images/1/3/7/6/137678_artist.jpg?0026;Hombre;;;;;;;Colombia;"Buga, Valle del Cauca";0
"Jairo Guedz";https://www.metal-archives.com/images/4/4/9/2/4492_artist.jpg?1720;Hombre;25;11;1968;;;;Brasil;"João Monlevade, Minas Gerais";0
"Jake E. Lee";https://www.metal-archives.com/images/1/5/0/7/15071_artist.jpg?3019;Hombre;15;2;1957;;;;"Estados Unidos";"Fairmont, West Virginia";0
"James Guthrie";https://www.metal-archives.com/images/1/6/1/0/161023_artist.jpg?5648;Hombre;14;11;1953;;;;"Reino Unido";"Edmonton, Middlesex, England";0
"James Hetfield";https://www.metal-archives.com/images/1/7/0/170_artist.jpg?4424;Hombre;3;8;1963;;;;"Estados Unidos";"Downey, California";1
"James LaBrie";https://www.metal-archives.com/images/2/1/2/1/2121_artist.jpg?0650;Hombre;5;5;1963;;;;Canadá;"Penetanguishene, Ontario";0
"James McIlroy";https://www.metal-archives.com/images/1/7/0/5/1705_artist.jpg?1234;Hombre;7;12;1977;;;;"Reino Unido";"Norfolk, England";0
"James Murphy";https://www.metal-archives.com/images/7/8/7/787_artist.jpg?0201;Hombre;30;7;1967;;;;"Estados Unidos";"Portsmouth, Virginia";0
"Jan Lindh";https://www.metal-archives.com/images/6/9/6/2/6962_artist.jpg?5253;Hombre;29;7;1964;;;;Suecia;"Älvsbyn, Norrbotten";0
"Jan Peter Genkel";https://www.metal-archives.com/images/5/8/6/1/58610_artist.jpg?1201;Hombre;;;;;;;Alemania;;0
"Jan Rechberger";https://www.metal-archives.com/images/1/2/4/3/1243_artist.jpg?0746;Hombre;13;6;1974;;;;Finlandia;"Helsinki, Uusimaa";0
"Janick Gers";https://www.metal-archives.com/images/1/1/9/119_artist.jpg?2159;Hombre;27;1;1957;;;;"Reino Unido";"Hartlepool, Durham, England";0
"Janne Warman";https://www.metal-archives.com/images/2/0/5/6/2056_artist.jpg?3819;Hombre;26;4;1979;;;;Finlandia;"Espoo, Uusimaa";0
"Jared MacEachern";https://www.metal-archives.com/images/5/8/1/6/58165_artist.jpg?5716;Hombre;16;8;1980;;;;"Estados Unidos";"Virginia Beach, Virginia";0
"Jari Kainulainen";https://www.metal-archives.com/images/3/9/7/1/3971_artist.jpg?2708;Hombre;29;4;1970;;;;Finlandia;"Helsinki, Uusimaa";0
"Jaska Raatikainen";https://www.metal-archives.com/images/2/0/3/2/2032_artist.jpg?0724;Hombre;18;7;1979;;;;Finlandia;"Lappeenranta, Etelä-Karjala";0
"Jason Newsted";https://www.metal-archives.com/images/2/0/1/201_artist.jpg?3242;Hombre;4;3;1963;;;;"Estados Unidos";"Battle Creek, Michigan";0
"Jason Rullo";https://www.metal-archives.com/images/5/8/4/6/5846_artist.jpg?2321;Hombre;17;7;1972;;;;"Estados Unidos";"Hackensack, New Jersey";0
"Jay Noel Yuenger";https://www.metal-archives.com/images/3/9/1/1/39116_artist.jpg?0348;Hombre;26;12;1966;;;;"Estados Unidos";"Chicago, Illinois";0
"Jay Ruston";https://www.metal-archives.com/images/2/1/7/1/217135_artist.jpg?2159;Hombre;;;;;;;Canadá;;0
"Jeff Balding";https://www.metal-archives.com/images/2/8/0/9/280922_artist.jpg?56;Hombre;;;;;;;"Estados Unidos";;0
"Jeff Hanneman";https://www.metal-archives.com/images/2/6/5/265_artist.jpg?0714;Hombre;31;1;1964;2;5;2013;"Estados Unidos";"Oakland, California";1
"Jeff Loomis";https://www.metal-archives.com/images/1/3/5/2/1352_artist.jpg?1507;Hombre;14;9;1971;;;;"Estados Unidos";"Appleton, Wisconsin";0
"Jeff Singer";https://www.metal-archives.com/images/2/5/8/6/2586_artist.jpg?3223;Hombre;31;3;1971;;;;"Reino Unido";"Manchester, Greater Manchester, England";0
"Jeff Walker";https://www.metal-archives.com/images/5/6/3/563_artist.jpg?2003;Hombre;25;3;1969;;;;"Reino Unido";"St. Helens, Merseyside, England";0
"Jeff Young";https://www.metal-archives.com/images/2/7/2/3/2723_artist.jpg?4315;Hombre;31;3;1962;;;;"Estados Unidos";"Ann Arbor, Michigan";0
"Jeffrey Calvert";;Hombre;;;;;;;"Reino Unido";;0
"Jens Bogren";https://www.metal-archives.com/images/2/1/5/6/21563_artist.jpg?4240;Hombre;13;11;1979;;;;Suecia;"Halmstad, Halland";0
"Jens Johansson";https://www.metal-archives.com/images/3/6/7/9/3679_artist.jpg?3247;Hombre;2;11;1963;;;;Suecia;Stockholm;0
"Jens Kidman";https://www.metal-archives.com/images/7/2/8/1/7281_artist.jpg?0639;Hombre;8;6;1966;;;;Suecia;"Umeå, Västerbotten";0
"Jeroen van Veen";https://www.metal-archives.com/images/9/0/8/2/9082_artist.jpg?4325;Hombre;26;10;1974;;;;"Países Bajos";"Boskoop, South Holland";0
"Jesper Strömblad";https://www.metal-archives.com/images/6/4/8/3/6483_artist.jpg?1057;Hombre;28;11;1972;;;;Suecia;"Gothenburg, Västra Götaland";1
"Jim Morris";https://www.metal-archives.com/images/1/5/3/2/15326_artist.jpg?191;Hombre;;;;;;;"Estados Unidos";;0
"Jimmy Bain";https://www.metal-archives.com/images/8/0/3/9/8039_artist.jpg?5643;Hombre;19;12;1947;24;1;2016;"Reino Unido";"Newtonmore, Highland, Scotland";0
"Jimmy Miller";https://www.metal-archives.com/images/1/0/6/1/106125_artist.jpg?5210;Hombre;23;3;1942;22;10;1994;"Estados Unidos";"New York City, New York";0
"Joakim Brodén";https://www.metal-archives.com/images/2/9/4/7/2947_artist.jpg?4758;Hombre;5;10;1980;;;;Suecia;"Falun, Dalarna";0
"Joey Belladonna";https://www.metal-archives.com/images/5/9/3/9/5939_artist.jpg?3034;Hombre;13;10;1960;;;;"Estados Unidos";"Oswego, New York";0
"Joey DeMaio";https://www.metal-archives.com/images/8/4/3/4/8434_artist.jpg?2103;Hombre;6;3;1954;;;;"Estados Unidos";"Auburn, New York";0
"Johan Andersson";https://www.metal-archives.com/images/2/9/5/3/2953_artist.jpg?5809;Hombre;5;5;1981;;;;Suecia;"Falun, Dalarna";0
"Johan De Farfalla";https://www.metal-archives.com/images/1/9/7/197_artist.jpg?1133;Hombre;3;6;1971;;;;Suecia;Stockholm;0
"Johan Längquist";https://www.metal-archives.com/images/6/9/7/1/6971_artist.jpg?0950;Hombre;23;8;1963;;;;Suecia;"Järfälla, Stockholm";1
"Johan Larsson";https://www.metal-archives.com/images/6/5/1/6/6516_artist.jpg?0047;Hombre;8;12;1974;;;;Suecia;"Gothenburg, Västra Götaland";0
"Johan Liiva";https://www.metal-archives.com/images/2/3/7/7/2377_artist.jpg?4036;Hombre;18;11;1970;;;;Suecia;"Helsingborg, Skåne";0
"Johan Reinholdz";https://www.metal-archives.com/images/5/2/5/0/52500_artist.jpg?0512;Hombre;30;6;1980;;;;Suecia;"Höör, Skåne";0
"John Bush";https://www.metal-archives.com/images/5/9/7/6/5976_artist.jpg?3245;Hombre;24;8;1963;;;;"Estados Unidos";"Los Angeles, California";0
"John Fryer";https://www.metal-archives.com/images/6/2/9/6/62967_artist.jpg?484;Hombre;;;1958;;;;"Reino Unido";"London, England";0
"John Myung";https://www.metal-archives.com/images/2/1/1/6/2116_artist.jpg?3540;Hombre;24;1;1967;;;;"Estados Unidos";"Chicago, Illinois";0
"John Ortega";https://www.metal-archives.com/images/3/9/4/8/3948_artist.jpg?0107;Hombre;;;1965;;;;"Estados Unidos";;0
"John Petrucci";https://www.metal-archives.com/images/2/1/1/2/2112_artist.jpg?3944;Hombre;12;7;1967;;;;"Estados Unidos";"Kings Park, New York";0
"John Purdell";https://www.metal-archives.com/images/2/4/8/1/24816_artist.jpg?1337;Hombre;8;7;1959;10;7;2003;"Estados Unidos";"Los Angeles, California";0
"John Sinclair";https://www.metal-archives.com/images/2/9/7/7/29778_artist.jpg?4128;Hombre;12;4;1952;;;;"Reino Unido";"London, England";0
"John Tempesta";https://www.metal-archives.com/images/8/1/6/816_artist.jpg?3736;Hombre;26;9;1964;;;;"Estados Unidos";"New York City, New York";0
"Johnny Christ";https://upload.wikimedia.org/wikipedia/commons/1/16/Avenged_Sevenfold-Rock_im_Park_2014_by_2eight_3SC7791.jpg;Hombre;18;11;1984;;;;"Estados Unidos";"Huntington Beach, California";0
"Johnny K";https://www.metal-archives.com/images/1/7/9/0/179063_artist.jpg?0532;Hombre;;;;;;;"Estados Unidos";"Chicago, Illinois";0
"Johnny Kelly";https://www.metal-archives.com/images/2/9/3/5/2935_artist.jpg?4309;Hombre;9;3;1968;;;;"Estados Unidos";"Brooklyn, New York City, New York";0
"Johnny Rod";https://www.metal-archives.com/images/1/7/8/1/17818_artist.jpg?0651;Hombre;8;12;1957;;;;"Estados Unidos";"St. Louis,  Missouri";0
"Jonas Wolf";https://www.metal-archives.com/images/6/6/6/0/666056_artist.jpg?1559;Hombre;14;8;1987;;;;Suiza;;0
"Jonatan Thomasson";;Hombre;;;;;;;Suecia;;0
"Jonathan Donais";https://www.metal-archives.com/images/1/1/8/6/11862_artist.jpg?175;Hombre;5;4;1979;;;;"Estados Unidos";"Northampton, Massachusetts";0
"Jordan Rudess";https://www.metal-archives.com/images/2/1/2/6/2126_artist.jpg?5751;Hombre;4;11;1956;;;;"Estados Unidos";"Great Neck, New York";0
"Jörg Fischer";https://www.metal-archives.com/images/2/1/5/9/21592_artist.jpg?120;Hombre;4;7;1957;;;;Alemania;;0
"Jörg Michael";https://www.metal-archives.com/images/3/7/0/9/3709_artist.jpg?3051;Hombre;27;3;1963;;;;Alemania;"Dortmund, North Rhine-Westphalia";0
"Jorge Salán";https://www.metal-archives.com/images/5/1/1/9/51197_artist.jpg?185;Hombre;4;4;1982;;;;España;"Madrid, Community of Madrid";0
"José Andrëa";https://www.metal-archives.com/images/5/1/1/9/51191_artist.jpg?1419;Hombre;2;6;1971;;;;Bolivia;"La Paz";1
"Josh Silver";https://www.metal-archives.com/images/2/9/3/0/2930_artist.jpg?5809;Hombre;14;11;1962;;;;"Estados Unidos";"New York City, New York";0
"Juan Urteaga";https://www.metal-archives.com/images/6/6/7/5/6675_artist.jpg?5805;Hombre;26;8;1972;;;;Jamaica;Kingston;0
"Jukka Nevalainen";https://www.metal-archives.com/images/2/3/0/4/2304_artist.jpg?2934;Hombre;21;4;1978;;;;Finlandia;"Kitee, Pohjois-Karjala";0
"K.K. Downing";https://www.metal-archives.com/images/3/6/0/1/3601_artist.jpg?0122;Hombre;27;10;1951;;;;"Reino Unido";"Birmingham, West Midlands, England";0
"Kai Hansen";https://www.metal-archives.com/images/2/2/9/1/2291_artist.jpg?4008;Hombre;17;1;1963;;;;Alemania;Hamburg;0
"Kalle Trapp";https://www.metal-archives.com/images/4/8/3/1/48317_artist.gif?2909;Hombre;;;;;;;Alemania;;0
"Karat Faye";https://www.metal-archives.com/images/4/9/8/6/4986_artist.jpg?1729;Hombre;;;;;;;"Estados Unidos";"Los Angeles, California";0
"Karl Logan";https://www.metal-archives.com/images/8/4/4/6/8446_artist.jpg?0255;Hombre;28;4;1965;;;;"Estados Unidos";"Carbondale, Pennsylvania";0
"Kasper Mårtenson";https://www.metal-archives.com/images/2/0/4/4/2044_artist.jpg?2531;Hombre;;;1974;;;;Finlandia;"Helsinki, Uusimaa";0
"Kay Brem";https://www.metal-archives.com/images/8/4/5/2/8452_artist.jpg?1712;Hombre;8;1;1982;;;;Suiza;;0
"Keith Nichol";https://www.metal-archives.com/images/4/3/6/9/43698_artist.jpg?0024;Hombre;;;;;;;"Reino Unido";;0
"Kelly Conlon";https://www.metal-archives.com/images/6/6/0/8/6608_artist.jpg?3041;Hombre;20;3;1969;;;;"Estados Unidos";"Long Island, New York";0
"Ken Owen";https://www.metal-archives.com/images/4/8/3/483_artist.jpg?5322;Hombre;23;4;1970;;;;"Reino Unido";"Billinge, Lancashire, England";0
"Kenny Hickey";https://www.metal-archives.com/images/2/9/2/6/2926_artist.jpg?4208;Hombre;22;5;1966;;;;"Estados Unidos";"New York City, New York";0
"Kerry King";https://www.metal-archives.com/images/2/6/7/267_artist.jpg?1404;Hombre;3;6;1964;;;;"Estados Unidos";"Los Angeles, California";0
"Kevin Churko";https://www.metal-archives.com/images/1/8/0/8/180895_artist.jpg?0622;Hombre;19;1;1968;;;;Canadá;"Regina, Saskatchewan";0
"Kevin Moore";https://www.metal-archives.com/images/1/8/8/188_artist.jpg?0149;Hombre;26;5;1967;;;;"Estados Unidos";"Long Island, New York";0
"Kevin Shirley";https://www.metal-archives.com/images/5/3/4/7/53475_artist.jpg?2300;Hombre;29;6;1960;;;;Sudáfrica;"Johannesburg, Gauteng";0
"Kiko Loureiro";https://www.metal-archives.com/images/3/8/2/6/3826_artist.jpg?3351;Hombre;16;6;1972;;;;Brasil;"Rio de Janeiro, Rio de Janeiro";0
"Kim Rantala";https://www.metal-archives.com/images/2/0/4/7/2047_artist.jpg?3639;Hombre;;;1971;;;;Finlandia;;0
"King Diamond";https://www.metal-archives.com/images/3/1/8/318_artist.jpg?1013;Hombre;14;6;1956;;;;Dinamarca;"Copenhagen, Hovedstaden";1
"Kirk Hammett";https://www.metal-archives.com/images/1/7/5/175_artist.jpg?0048;Hombre;18;11;1962;;;;"Estados Unidos";"San Francisco, California";0
"Kit Woolven";https://www.metal-archives.com/images/7/1/7/3/71734_artist.jpg?0856;Hombre;;;1951;26;1;2022;"Reino Unido";"Maidstone, Kent, England";0
Kothaar;https://www.metal-archives.com/images/7/3/4/734_artist.jpg?1421;Hombre;;;;;;;Suecia;;0
"Lars Johansson";https://www.metal-archives.com/images/6/9/3/1/6931_artist.jpg?0910;Hombre;;;;;;;Suecia;"Boden, Norrbotten";0
"Lars Ulrich";https://www.metal-archives.com/images/1/8/7/187_artist.jpg?2040;Hombre;26;12;1963;;;;Dinamarca;"Gentofte, Hovedstaden";0
"Lauri Porra";https://www.metal-archives.com/images/3/6/9/8/3698_artist.jpg?5519;Hombre;13;12;1977;;;;Finlandia;"Helsinki, Uusimaa";0
"Lee Altus";https://www.metal-archives.com/images/2/4/6/7/2467_artist.jpg?3749;Hombre;13;5;1966;;;;Ukraine;"Odessa, Odessa Oblast";0
"Lee Kerslake";https://www.metal-archives.com/images/1/5/1/1/15114_artist.jpg?194;Hombre;16;4;1947;19;9;2020;"Reino Unido";"Bournemouth, Dorset, England";1
"Lee Morris";https://www.metal-archives.com/images/2/5/8/2/2582_artist.jpg?3427;Hombre;11;1;1970;;;;"Reino Unido";;0
"Leif Edling";https://www.metal-archives.com/images/6/9/5/7/6957_artist.jpg?5056;Hombre;6;8;1963;;;;Suecia;"Upplands Väsby, Stockholm";0
"Lemmy Kilmister";https://www.metal-archives.com/images/2/6/0/260_artist.jpg?3344;Hombre;24;12;1945;28;12;2015;"Reino Unido";"Stoke-on-Trent, Staffordshire, England";1
Les;https://www.metal-archives.com/images/1/0/8/4/108487_artist.jpg?5913;Hombre;26;1;1970;;;;Polonia;"Gdynia, Pomerania";0
"Les Binks";https://www.metal-archives.com/images/3/7/1/4/3714_artist.jpg?4039;Hombre;5;4;1951;;;;"Reino Unido";"Portadown, County Armagh, Northern Ireland";0
"Les Smith";https://www.metal-archives.com/images/1/7/8/1/1781_artist.jpg?3631;Hombre;5;5;1967;;;;"Reino Unido";"Dewsbury, West Yorkshire, England";0
"Lex Vogelaar";https://www.metal-archives.com/images/6/4/2/4/6424_artist.png?3349;Hombre;;;;;;;"Países Bajos";;0
"Linda Suter";https://www.metal-archives.com/images/1/0/0/7/10077_artist.jpg?2545;Mujer;;;;;;;Suiza;;0
"Logan Mader";https://www.metal-archives.com/images/2/5/9/4/25949_artist.jpg?2249;Hombre;16;11;1970;;;;Canadá;"Montreal, Quebec";2
"Louie Clemente";https://www.metal-archives.com/images/8/1/3/813_artist.jpg?5044;Hombre;23;1;1965;;;;"Estados Unidos";California;0
"Luca Turilli";https://www.metal-archives.com/images/2/0/0/1/2001_artist.jpg?1748;Hombre;5;3;1972;;;;Italia;"Trieste, Friuli-Venezia Giulia";0
"M. Shadows";https://upload.wikimedia.org/wikipedia/commons/1/1a/Avenged_Sevenfold_%2832509055635%29.jpg;Hombre;31;7;1981;;;;"Estados Unidos";"Fountain Valley, California";0
Mags;https://www.metal-archives.com/images/8/1/7/7/81775_artist.jpg?5759;Hombre;;;;;;;"Reino Unido";"Keighley, West Yorkshire";0
Mantas;https://www.metal-archives.com/images/4/6/8/9/4689_artist.jpg?2524;Hombre;22;4;1961;;;;"Reino Unido";"Newcastle upon Tyne, Tyne and Wear, England";0
"Mappe Björkman";https://www.metal-archives.com/images/6/9/4/7/6947_artist.jpg?0518;Hombre;14;12;1964;;;;Suecia;Stockholm;0
"Marc Senasac";https://www.metal-archives.com/images/2/6/6/2/266292_artist.jpg?3637;Hombre;;;;;;;"Estados Unidos";California;0
"Marco Hietala";https://www.metal-archives.com/images/2/0/2/5/2025_artist.jpg?4311;Hombre;14;1;1966;;;;Finlandia;"Tervo, Pohjois-Savo";0
"Marcus Jidell";https://www.metal-archives.com/images/1/2/4/7/12476_artist.jpg?203;Hombre;11;9;1973;;;;Suecia;Stockholm;0
"Marcus Siepen";https://www.metal-archives.com/images/7/3/7/737_artist.jpg?1741;Hombre;8;9;1968;;;;Alemania;"Krefeld, North Rhine-Westphalia";0
"Mark Dodson";https://www.metal-archives.com/images/2/5/5/7/25578_artist.jpg?5813;Hombre;10;9;1953;;;;"Reino Unido";"London, England";0
"Mark Tornillo";https://www.metal-archives.com/images/2/6/6/8/26682_artist.jpg?294;Hombre;8;6;1954;;;;"Estados Unidos";"Brielle, New Jersey";0
"Mark Whitaker";;Hombre;;;;;;;"Estados Unidos";;0
"Markus Grosskopf";https://www.metal-archives.com/images/3/4/1/7/3417_artist.jpg?0848;Hombre;21;9;1965;;;;Alemania;Hamburg;0
"Markus Stock";https://www.metal-archives.com/images/7/9/2/9/792980_artist.jpg?4116;Hombre;19;9;1978;;;;Alemania;;0
"Mårten Hagström";https://www.metal-archives.com/images/7/2/8/8/7288_artist.jpg?0238;Hombre;27;4;1971;;;;Suecia;"Örnsköldsvik, Västernorrland";0
Marthus;https://www.metal-archives.com/images/1/7/1/4/1714_artist.jpg?1248;Hombre;20;1;1981;;;;Chequia;"Brno, South Moravian Region";0
"Martijn Spierenburg";https://www.metal-archives.com/images/1/5/5/7/15578_artist.jpg?5103;Hombre;30;1;1975;;;;"Países Bajos";;0
"Martijn Westerholt";https://www.metal-archives.com/images/2/3/5/3/23538_artist.jpg?2615;Hombre;30;3;1979;;;;"Países Bajos";"Zwolle, Overijssel";0
"Martin Axenrot";https://www.metal-archives.com/images/1/5/5/155_artist.jpg?1212;Hombre;5;3;1979;;;;Suecia;"Linköping, Östergötland";1
"Martin Birch";https://www.metal-archives.com/images/5/7/9/9/579937_artist.jpg?5551;Hombre;27;12;1948;9;8;2020;"Reino Unido";"Woking, Surrey, England";0
"Martin Brändström";https://www.metal-archives.com/images/4/0/6/2/4062_artist.jpg?5606;Hombre;16;4;1975;;;;Suecia;;0
"Martin E. Ain";https://www.metal-archives.com/images/8/6/7/3/8673_artist.jpg?1603;Hombre;18;7;1967;21;10;2017;"Estados Unidos";"Santa Barbara, California";0
"Martin Henriksson";https://www.metal-archives.com/images/4/0/3/1/4031_artist.jpg?1052;Hombre;30;10;1974;;;;Suecia;"Gothenburg, Västra Götaland";0
"Martin Lopez";https://www.metal-archives.com/images/2/1/3/213_artist.jpeg?1109;Hombre;20;5;1978;;;;Suecia;Stockholm;0
"Martín Méndez";https://www.metal-archives.com/images/1/5/2/152_artist.jpg?1604;Hombre;6;4;1978;;;;Uruguay;Montevideo;0
"Martin Powell";https://www.metal-archives.com/images/1/7/8/8/1788_artist.jpg?5702;Hombre;19;7;1973;;;;"Reino Unido";"Sheffield, South Yorkshire, England";0
"Marty Friedman";https://www.metal-archives.com/images/2/7/4/1/2741_artist.jpg?2800;Hombre;8;12;1962;;;;"Estados Unidos";"Washington, DC";0
"Matias Kupiainen";https://www.metal-archives.com/images/3/6/7/2/3672_artist.jpg?3626;Hombre;11;5;1983;;;;Finlandia;"Helsinki, Uusimaa";0
"Mats Ekström";https://www.metal-archives.com/images/1/0/0/2/10022_artist.jpg?5831;Hombre;;;;;;;Suecia;;0
"Mats Lindfors";https://www.metal-archives.com/images/6/4/4/7/64470_artist.jpg?4946;Hombre;;;1957;19;3;2017;Suecia;;1
"Matt Hyde";https://www.metal-archives.com/images/5/9/7/0/59703_artist.jpg?2515;Hombre;19;6;1964;;;;"Estados Unidos";;0
"Matteo Sisti";https://www.metal-archives.com/images/2/0/8/5/208555_artist.jpg?2018;Hombre;;;;;;;Italia;"Maniago, Friuli-Venezia Giulia";0
"Matthew Archer";https://www.metal-archives.com/images/2/5/7/9/2579_artist.jpg?3534;Hombre;;;;;;;"Reino Unido";"Halifax, West Yorkshire, England";0
"Max Cavalera";https://www.metal-archives.com/images/4/4/7/6/4476_artist.jpg?5744;Hombre;4;8;1969;;;;Brasil;"Belo Horizonte, Minas Gerais";0
"Max Norman";https://www.metal-archives.com/images/1/9/4/0/19403_artist.jpg?2157;Hombre;30;5;1958;;;;"Reino Unido";"Kettering, Northamptonshire, England";1
"Max West";;Hombre;;;;;;;"Reino Unido";;0
"Meri Tadi?";https://www.metal-archives.com/images/8/4/4/4/8444_artist.jpg?2213;Mujer;15;8;1982;;;;Suiza;;0
"Merlin Sutter";https://www.metal-archives.com/images/8/4/5/8/8458_artist.jpg?3847;Hombre;21;9;1986;;;;Suiza;"Winterthur, Zurich";0
"Messiah Marcolin";https://www.metal-archives.com/images/3/6/6/5/3665_artist.jpg?4639;Hombre;10;12;1967;;;;Suecia;"Ronneby, Blekinge";0
"Michael Amott";https://www.metal-archives.com/images/2/0/0/0/2000_artist.jpg?4318;Hombre;28;7;1969;;;;Suecia;"Halmstad, Halland";1
"Michael Beinhorn";https://www.metal-archives.com/images/9/6/9/1/96918_artist.jpg?3236;Hombre;;;;;;;"Estados Unidos";;0
"Michael Denner";https://www.metal-archives.com/images/2/8/8/3/2883_artist.jpg?5235;Hombre;5;11;1958;;;;Dinamarca;"Copenhagen, Hovedstaden";0
"Michael Kiske";https://www.metal-archives.com/images/3/4/3/2/3432_artist.jpg?1704;Hombre;24;1;1968;;;;Alemania;Hamburg;0
"Michael Nicklasson";https://www.metal-archives.com/images/4/0/7/9/4079_artist.jpg?0502;Hombre;11;4;1972;;;;Suecia;;0
"Michael Pinnella";https://www.metal-archives.com/images/5/8/4/1/5841_artist.jpg?5730;Hombre;29;8;1969;;;;"Estados Unidos";"Point Pleasant Beach, New Jersey";0
"Michael Romeo";https://www.metal-archives.com/images/5/8/4/0/5840_artist.jpg?4108;Hombre;6;3;1968;;;;"Estados Unidos";"New York City, New York";2
"Michael Rosen";https://www.metal-archives.com/images/1/5/1/2/15129_artist.jpg?3448;Hombre;;;;;;;"Estados Unidos";;0
"Michael Wagener";https://www.metal-archives.com/images/2/1/5/7/21579_artist.jpg?432;Hombre;25;4;1949;;;;Alemania;"Wuppertal, North Rhine-Westphalia";0
"Michael Weikath";https://www.metal-archives.com/images/3/3/9/8/3398_artist.jpg?1316;Hombre;7;8;1962;;;;Alemania;Hamburg;0
"Michalina Malisz";https://www.metal-archives.com/images/6/0/0/6/600655_artist.jpg?5204;Mujer;;;;;;;Polonia;"Jaworzno, Silesia";0
"Michiel Papenhove";https://www.metal-archives.com/images/2/9/9/9/29992_artist.jpg?2058;Hombre;;;;;;;"Países Bajos";"Rotterdam, South Holland";0
"Mick Mars";https://www.metal-archives.com/images/8/0/3/4/8034_artist.jpg?0201;Hombre;4;5;1951;;;;"Estados Unidos";"Terre Haute, Indiana";0
"Mickey Sweeney";https://www.metal-archives.com/images/1/8/3/9/183954_artist.jpg?0426;Hombre;;;;;;;"Reino Unido";;0
"Mikael Åkerfeldt";https://www.metal-archives.com/images/1/4/4/144_artist.jpg?3608;Hombre;17;4;1974;;;;Suecia;Stockholm;0
"Mikael Stanne";https://www.metal-archives.com/images/4/0/0/8/4008_artist.jpg?2849;Hombre;20;5;1974;;;;Suecia;"Gothenburg, Västra Götaland";0
"Mike Bordin";https://www.metal-archives.com/images/5/8/9/3/5893_artist.jpg?5153;Hombre;27;11;1962;;;;"Estados Unidos";"San Francisco, California";0
"Mike Browning";https://www.metal-archives.com/images/3/9/8/2/3982_artist.jpg?2526;Hombre;26;5;1964;;;;"Estados Unidos";"Tampa, Florida";0
"Mike Butler";https://www.metal-archives.com/images/3/1/4/6/3146_artist.jpg?4447;Hombre;24;12;1961;;;;"Estados Unidos";"Jacksonville, Florida";0
"Mike Clink";https://www.metal-archives.com/images/1/3/6/9/136992_artist.jpg?4337;Hombre;23;8;1952;;;;"Estados Unidos";;0
"Mike Duda";https://www.metal-archives.com/images/2/6/7/9/26799_artist.jpg?4247;Hombre;;;;;;;"Estados Unidos";"East Haven, Connecticut";0
"Mike Dupke";https://www.metal-archives.com/images/3/4/9/9/34996_artist.jpg?3117;Hombre;30;5;1974;;;;"Estados Unidos";"Grand Rapids, Michigan";0
"Mike Elizondo";https://upload.wikimedia.org/wikipedia/commons/6/60/Mike_Elizondo_2022.jpg;Hombre;22;10;1972;;;;"Estados Unidos";"Pacoima, California";0
"Mike Exeter";https://www.metal-archives.com/images/1/2/1/0/121066_artist.jpg?3637;Hombre;;;;;;;"Reino Unido";"Bexley, London, England";0
"Mike Heller";https://www.metal-archives.com/images/4/9/3/3/49332_artist.jpg?1829;Hombre;17;1;1982;;;;"Estados Unidos";"Brooklyn, New York City, New York";0
"Mike LePond";https://www.metal-archives.com/images/2/1/4/4/21442_artist.jpg?0814;Hombre;17;2;1966;;;;"Estados Unidos";"Newark, New Jersey";0
"Mike Mangini";https://www.metal-archives.com/images/8/6/7/8/8678_artist.jpg?0839;Hombre;18;4;1963;;;;"Estados Unidos";"Newton, Massachusetts";0
"Mike Portnoy";https://www.metal-archives.com/images/2/0/6/206_artist.jpg?4544;Hombre;20;4;1967;;;;"Estados Unidos";"Long Beach, New York";0
"Mike Varney";https://www.metal-archives.com/images/6/5/3/0/65303_artist.jpg?5415;Hombre;29;10;1957;;;;"Estados Unidos";"Novato, California";0
"Mikkey Dee";https://www.metal-archives.com/images/2/9/5/295_artist.jpg?5453;Hombre;31;10;1963;;;;Suecia;"Gothenburg, Västra Götaland";0
"Mikko Karmila";https://www.metal-archives.com/images/9/2/1/3/9213_artist.jpg?1202;Hombre;;;1964;;;;Finlandia;"Lohja, Uusimaa";0
"Mille Petrozza";https://www.metal-archives.com/images/3/7/6/6/3766_artist.jpg?3023;Hombre;18;12;1967;;;;Alemania;"Essen, North Rhine-Westphalia";0
"Miro Rodenberg";https://www.metal-archives.com/images/7/9/2/9/792981_artist.jpg?5717;Hombre;9;4;1970;;;;Alemania;"Wolfsburg, Lower Saxony";0
Mohamed;https://www.metal-archives.com/images/5/8/1/9/58192_artist.jpg?5237;Hombre;30;7;1969;;;;España;Madrid;0
"Moses Schneider";https://www.metal-archives.com/images/1/8/0/8/180838_artist.jpg?04;Hombre;;;1966;;;;Alemania;;0
Mustis;https://www.metal-archives.com/images/9/2/9/7/9297_artist.jpg?4300;Hombre;10;9;1979;;;;Noruega;"Bærum, Viken";0
Nagash;https://www.metal-archives.com/images/1/5/3/2/15329_artist.jpg?274;Hombre;7;5;1978;;;;Noruega;"Hamar, Innlandet";0
